months,style,sku,size,pcs,rate,gross_amt
2021-06-01,J0110,J0110-SKD-M,M,1.00,1169.35,1169.00
2021-06-01,J0110,J0110-SKD-XS,XS,1.00,1169.35,1169.00
2021-06-01,J0110,J0110-SKD-S,S,1.00,1169.35,1169.00
2021-06-01,J0110,J0110-SKD-XXL,XXL,1.00,1169.35,1169.00
2021-06-01,J0110,J0110-SKD-XXXL,XXXL,1.00,1169.35,1169.00
2021-06-01,J0127,J0127-SKD-XXL,XXL,1.00,1104.35,1104.00
2021-06-01,J0127,J0127-SKD-XS,XS,1.00,1104.35,1104.00
2021-06-01,J0281,J0281-SKD-XS,XS,1.00,1494.35,1494.00
2021-06-01,J0281,J0281-SKD-S,S,1.00,1494.35,1494.00
2021-06-01,J0281,J0281-SKD-M,M,1.00,1494.35,1494.00
2021-06-01,J0281,J0281-SKD-L,L,1.00,1494.35,1494.00
2021-06-01,J0281,J0281-SKD-XL,XL,1.00,1494.35,1494.00
2021-06-01,J0281,J0281-SKD-XXL,XXL,1.00,1494.35,1494.00
2021-06-01,J0281,J0281-SKD-XXXL,XXXL,1.00,1494.35,1494.00
2021-06-01,J0285,J0285-SKD-XS,XS,1.00,1494.35,1494.00
2021-06-01,J0285,J0285-SKD-S,S,1.00,1494.35,1494.00
2021-06-01,J0285,J0285-SKD-M,M,1.00,1494.35,1494.00
2021-06-01,J0285,J0285-SKD-L,L,1.00,1494.35,1494.00
2021-06-01,J0285,J0285-SKD-XL,XL,1.00,1494.35,1494.00
2021-06-01,J0285,J0285-SKD-XXL,XXL,1.00,1494.35,1494.00
2021-06-01,J0285,J0285-SKD-XXXL,XXXL,1.00,1494.35,1494.00
2021-06-01,JNE3615,JNE3615-KR-XS,XS,1.00,454.35,454.00
2021-06-01,JNE3615,JNE3615-KR-S,S,1.00,454.35,454.00
2021-06-01,JNE3615,JNE3615-KR-M,M,1.00,454.35,454.00
2021-06-01,JNE3615,JNE3615-KR-L,L,1.00,454.35,454.00
2021-06-01,JNE3615,JNE3615-KR-XL,XL,1.00,454.35,454.00
