recived_amount,expance
,Particular
2022-06-19,Large Bag
2022-06-20,"Stationary(Soft Pin, Paper pin for Dupatta, Fevikwick)"
2022-06-22,OLA
2022-06-23,Auto Rent
,TT Fine
,Bhushan Hotel
,Food
,Expomart Labour Charge
,Choclate
,Bhushan Cash
,Delhi Hotel Rest Room
,Water Bottel
,Cooli
,
,Pending Amount
,
